	down_genes_DE_promoter	up_genes_DE_promoter
	down_genes_DE_promoter	up_genes_DE_promoter
MA0474.1.Erg	1.57719127071e-07	0.0107466309704
UP00148_1_Hdx_3845.3	0.999963134978	0.999997848689
UP00163_1_En2_0952.1	0.981277831895	0.997848922146
M00245_EGR3	3.31535006496e-35	5.50771366896e-22
MA0473.1.ELF1	5.90217274639e-06	0.0477820552742
UP00134_1_Hoxb13_3479.1	0.999999999988	0.99992047013
MA0031.1.FOXD1	0.985157183655	0.14877823529
MA0119.1.TLX1::NFIC	0.661118087934	0.263807372196
UP00254_1_Pou2f1_3081.2	0.999999999797	0.999998458495
UP00124_1_Ipf1_3815.1	0.999987305254	0.999999150985
UP00207_1_Hoxb9_3413.1	1.0	0.999857699975
MA0519.1.Stat5a::Stat5b	0.786171683468	0.309261175577
MA0092.1.Hand1::Tcfe2a	0.121344876929	0.37820710663
MA0508.1.PRDM1	0.866757213736	0.52548053514
MA0442.1.SOX10	0.980109749445	0.943686303723
UP00221_1_Phox2a_3947.1	0.999994882787	0.987578829709
MA0125.1.Nobox	0.920193608879	0.933345331135
UP00181_1_Barx1_2877.1	0.972887717694	0.998039217977
MA0115.1.NR1H2::RXRA	0.924050606282	0.375171680337
UP00137_1_Hoxb3_1720.2	0.932286693645	0.991746062863
MA0030.1.FOXF2	0.999266909763	0.689560198003
MA0089.1.NFE2L1::MafG	0.996815196867	0.968342434314
UP00110_1_Dlx4_3488.2	0.995519886439	0.99895857316
UP00256_1_Lhx6_2272.1	0.999999975227	0.998781923987
MA0107.1.RELA	0.000629764319332	9.28011029132e-06
MA0093.2.USF1	0.134551559888	0.942084408489
UP00049_1_Sp100_primary	0.312819358088	0.0711823545773
MA0108.2.TBP	0.997901944293	0.562731014802
UP00052_1_Osr2_primary	0.14356641507	0.872922931459
UP00167_1_En1_3123.2	0.999997926593	0.999944315544
MA0514.1.Sox3	0.97192529327	0.797496027354
UP00022_1_Zfp740_primary	9.6858515366e-18	3.98766216977e-15
MA0088.1.znf143	0.016717363159	0.798073288928
UP00042_1_Gm397_primary	0.877604682574	0.996414617356
UP00131_1_Gbx2_3110.1	0.421989336324	0.991421547063
MA0042.1.FOXI1	0.99855377641	0.999999993886
UP00082_1_Zfp187_primary	0.997097785506	0.999999447249
MA0465.1.CDX2	0.999999999984	0.999990429456
UP00077_1_Srf_primary	0.998395691695	0.993638262437
MA0135.1.Lhx3	0.999999999999	0.999999315838
UP00196_1_Hoxa4_3426.1	0.999999999944	0.999631702395
UP00189_1_Hoxa5_3415.1	0.999999785309	0.9999561572
UP00057_1_Zic2_primary	2.47872726534e-24	2.06232813201e-14
UP00017_1_Nkx3-1_primary	0.972319108495	0.368991579769
UP00033_1_Zfp410_primary	0.825278710103	0.653760126983
MA0106.2.TP53	0.984197817232	0.234880456574
MA0466.1.CEBPB	0.994220755525	0.997445174024
UP00056_1_Rfx4_primary	0.113011876404	0.0176706969467
UP00153_1_Pitx1_2312.1	0.929797668582	0.939010751263
UP00016_1_Sry_primary	0.999999992272	0.999997484563
UP00198_1_Cphx_3484.1	0.999990187724	0.893728416027
MA0596.1.SREBF2	0.336630417626	0.933497731777
UP00014_1_Sox17_primary	0.999999999999	0.999998247168
MA0040.1.Foxq1	0.999999928706	0.999780590689
MA0510.1.RFX5	5.09840268602e-05	0.00472151882544
MA0014.2.PAX5	9.27636133153e-07	0.556500458267
MA0520.1.Stat6	0.998736682922	0.884695867997
UP00242_1_Hoxc8_3429.2	0.999999942049	0.999990542766
UP00074_1_Isgf3g_primary	0.756327081126	0.842952162312
MA0098.2.Ets1	3.1548066382e-12	0.0134643150167
UP00019_1_Zbtb12_primary	0.998509281141	0.960735324002
UP00118_1_Pou4f3_2791.1	1.0	0.999999694522
UP00175_1_Lhx9_3492.1	0.999992735736	0.996210537749
MA0130.1.ZNF354C	1.0	1.0
UP00060_1_Max_primary	0.00510069233275	0.238370170968
UP00260_1_Hoxc6_3954.2	1.0	0.999999827444
UP00232_1_Dobox4_3956.2	0.999779311231	0.999285442451
UP00149_1_Phox2b_3948.1	0.999999999908	0.996741784223
UP00229_1_Otx1_2325.1	0.99404351274	0.622204358353
UP00235_1_Hoxc11_3718.2	0.993652224629	0.994029137784
UP00032_1_Gata3_primary	0.999999998828	0.999974672633
MA0593.1.FOXP2	0.994641982562	0.999649765354
MA0464.1.Bhlhe40	0.267155837659	0.6693619259
UP00158_1_Pou1f1_3818.1	1.0	0.999978625478
MA0112.2.ESR1	7.21900455245e-06	0.00694737536064
MA0104.3.Mycn	0.00733213286843	0.0125880482117
UP00061_1_Foxl1_primary	0.999999999795	0.999999816732
MA0033.1.FOXL1	1.0	0.999999999979
MA0100.2.Myb	0.686828180698	0.83970251112
MA0512.1.Rxra	0.381027664575	0.149068490002
MA0062.2.GABPA	1.17546380787e-22	0.000129365784462
UP00083_1_Tcf7l2_primary	0.999889938253	0.939204928983
UP00245_1_Hoxc10_2779.2	0.999729638972	0.999502749648
