	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
UP00267_1_Otx2_3441.1	0.99999999999	0.97331397066	1.0	0.999999999979	0.935480338282	0.980493395215	0.990664544466	1.0	0.999999999946	1.0	0.99999999999	0.999999999993
MA0142.1.Pou5f1	1.0	0.999957630117	0.980121621045	0.980374209812	0.999999737588	0.999999981405	0.98727824675	0.999937877676	0.999999999963	0.999999999999	0.999991364821	1.0
UP00030_1_Sox11_primary	0.24606132617	0.999481024925	0.881523775118	0.997045257544	0.92245561489	0.999898866108	0.996873150756	0.998690582177	0.999999999972	0.999999999999	0.999999999969	1.0
UP00018_1_Irf4_primary	0.999999999997	0.647511001696	0.263938362095	0.0324610499559	0.999999999912	0.225829152545	0.581176326038	0.138767867692	0.614549401086	1.0	0.0611360261985	0.127586064859
UP00084_1_Gmeb1_primary	1.0	0.0121631406662	1.0	1.0	0.0686070685497	0.00179143478649	0.0232843193285	1.0	0.00011086058922	0.0909090909092	0.0232820427537	0.173560637774
MA0018.2.CREB1	0.00825001192199	4.3472812307e-09	1.32036536362e-05	0.00283303632268	1.43279499752e-05	1.58160438104e-16	8.02107720894e-08	1.71468600231e-05	2.50890034398e-08	0.0909090909092	5.15349672243e-06	0.533601998818
UP00081_1_Mybl1_primary	0.999999999997	0.999999999955	1.0	1.0	0.316996865186	0.246214759446	1.0	1.0	0.0437636477672	1.0	5.08544008783e-08	0.000749428813345
MA0067.1.Pax2	0.173568169896	9.41583136865e-07	0.173564169772	1.80069973273e-07	0.0180479325685	7.26031167197e-09	0.000221654641768	1.52192686986e-11	5.26918247252e-05	0.248808743528	5.28135889753e-05	0.0185589866255
MA0098.1.ETS1	0.000198860968731	1.54370287715e-34	8.59614786372e-20	6.31329844515e-07	5.56155890825e-26	1.34704676192e-88	1.64482756815e-36	2.75963644106e-24	1.69393422621e-42	2.4581149052e-06	2.01155293539e-18	3.32212095505e-08
UP00155_1_Hmx2_3424.3	0.299012094779	0.998324318174	0.760925964921	0.999999999979	0.568026275857	0.999990293915	0.905196332575	1.0	0.999999999992	1.0	0.999999999982	0.999999999999
